leading_protein,padj,log2FC,rejected,group1,group2,identifier
prot1,0.07880597878376583,1.5332710592773324,False,timepoint1,timepoint2,prot1_pep1
prot1,0.05990102335987204,3.0236567380723844,False,timepoint1,timepoint2,prot1_pep2
prot1,0.04416869805802626,2.911955797241669,True,timepoint1,timepoint2,prot1_pep3
prot1,0.02462350123927702,4.150443014180416,True,timepoint1,timepoint2,prot1_pep4
prot1,0.04416869805802626,3.5324234756094217,True,timepoint1,timepoint2,prot1_pep5
prot1,0.3168274635257489,1.2368642314001477,False,timepoint1,timepoint2,prot1_pep6
prot2,0.14417390797088134,-2.2585678954343216,False,timepoint1,timepoint2,prot2_pep1
prot2,0.18583494940817125,-8.54965231217265,False,timepoint1,timepoint2,prot2_pep2
prot2,0.15951739880605717,2.3163401651964417,False,timepoint1,timepoint2,prot2_pep3
prot2,0.010309966852553445,2.548886849610412,True,timepoint1,timepoint2,prot2_pep4
prot2,0.7131015411321412,10.897935053458644,False,timepoint1,timepoint2,prot2_pep5
prot2,0.3745206530801302,-1.7617072017167672,False,timepoint1,timepoint2,prot2_pep6
prot2,0.4850070137907755,-0.9393657125286836,False,timepoint1,timepoint2,prot2_pep7
prot3,0.1022458686972483,-3.2248710758791166,False,timepoint1,timepoint2,prot3_pep1
prot3,0.08669167880093272,1.2705583236213729,False,timepoint1,timepoint2,prot3_pep2
prot3,0.406777908314452,0.5485793599314555,False,timepoint1,timepoint2,prot3_pep3
prot3,0.35251153228723875,-1.826508586620303,False,timepoint1,timepoint2,prot3_pep4
prot3,0.02668745279847266,-1.180310353128581,True,timepoint1,timepoint2,prot3_pep5
prot3,0.01685484894274798,-2.625593343445475,True,timepoint1,timepoint2,prot3_pep6
