alluvium,stage,stratum,y,x
1,Fill1,0.8MG,1,1
1,Fill2,NoFill,1,2
1,Fill3,NoFill,1,3
1,Fill4,0.8MG,1,4
1,Fill5,0.8MG,1,5
1,Fill6,2.4MG,1,6
1,Fill7,0.8MG,1,7
1,Fill8,NoFill,1,8
1,Fill9,1.2MG,1,9
2,Fill1,1.2MG,1,1
2,Fill2,1.2MG,1,2
2,Fill3,NoFill,1,3
2,Fill4,0.8MG,1,4
2,Fill5,NoFill,1,5
2,Fill6,NoFill,1,6
2,Fill7,1.2MG,1,7
2,Fill8,NoFill,1,8
2,Fill9,0.8MG,1,9
3,Fill1,0.8MG,1,1
3,Fill2,1.2MG,1,2
3,Fill3,0.8MG,1,3
3,Fill4,0.8MG,1,4
3,Fill5,NoFill,1,5
3,Fill6,NoFill,1,6
3,Fill7,1.2MG,1,7
3,Fill8,0.8MG,1,8
3,Fill9,NoFill,1,9
4,Fill1,0.8MG,1,1
4,Fill2,0.8MG,1,2
4,Fill3,NoFill,1,3
4,Fill4,2.4MG,1,4
4,Fill5,NoFill,1,5
4,Fill6,1.2MG,1,6
4,Fill7,0.8MG,1,7
4,Fill8,1.7MG,1,8
4,Fill9,NoFill,1,9
5,Fill1,1.7MG,1,1
5,Fill2,1.7MG,1,2
5,Fill3,1.7MG,1,3
5,Fill4,1.2MG,1,4
5,Fill5,NoFill,1,5
5,Fill6,NoFill,1,6
5,Fill7,3.0MG,1,7
5,Fill8,NoFill,1,8
5,Fill9,0.8MG,1,9
6,Fill1,2.4MG,1,1
6,Fill2,3.0MG,1,2
6,Fill3,3.0MG,1,3
6,Fill4,NoFill,1,4
6,Fill5,1.2MG,1,5
6,Fill6,NoFill,1,6
6,Fill7,NoFill,1,7
6,Fill8,NoFill,1,8
6,Fill9,NoFill,1,9
7,Fill1,0.8MG,1,1
7,Fill2,1.7MG,1,2
7,Fill3,1.2MG,1,3
7,Fill4,NoFill,1,4
7,Fill5,1.7MG,1,5
7,Fill6,NoFill,1,6
7,Fill7,NoFill,1,7
7,Fill8,NoFill,1,8
7,Fill9,1.2MG,1,9
8,Fill1,0.8MG,1,1
8,Fill2,0.8MG,1,2
8,Fill3,NoFill,1,3
8,Fill4,0.8MG,1,4
8,Fill5,1.7MG,1,5
8,Fill6,NoFill,1,6
8,Fill7,NoFill,1,7
8,Fill8,NoFill,1,8
8,Fill9,NoFill,1,9
