"Element","Abbrv","Entropy"
"dummy","!",0.0
"hydrogen","H",130.68/2.0
"helium","He",126.15
"lithium","Li",29.12
"beryllium","Be",9.54
"boron","B",5.90
"carbon","C",5.74
"nitrogen","N",191.61/2.0
"oxygen","O",205.15/2.0
"fluorine","F",202.79/2.0
"neon","Ne",146.32
"sodium","Na",51.30
"magnesium","Mg",32.68
"aluminum","Al",28.35
"silicon","Si",18.81
"phosphorous","P",22.85
"sulfur","S",31.80
"chlorine","Cl",223.08/2.0
"argon","Ar",154.84
"potassium","K",64.68
"calcium","Ca",41.63
"scandium","Sc",34.64
"titanium","Ti",30.63
"vanadium","V",28.91
"chromium","Cr",23.64
"manganese","Mn",32.01
"iron","Fe",27.28
"cobalt","Co",30.04
"nickel","Ni",29.87
"copper","Cu",33.15
"zinc","Zn",41.63
"gallium","Ga",40.83
"germanium","Ge",31.09
"arsenic","As",35.69
"selenium","Se",42.27
"bromine","Br",245.46/2.0
"krypton","Kr",164.08
"rubidium","Rb",76.78
"strontium","Sr",55.40
"yttrium","Y",44.43
"zirconium","Zr",38.99
"niobium","Nb",36.40
"molybdenum","Mo",28.66
"technetium","Tc",DBL_MAX
"ruthenium","Ru",28.53
"rhodium","Rh",31.54
"palladium","Pd",37.82
"silver","Ag",42.55
"cadmium","Cd",51.80
"indium","In",57.84
"tin","Sn",51.20
"antimony","Sb",45.52
"tellurium","Te",49.50
"iodine","I",116.15/2.0
"xenon","Xe",169.68
"cesium","Cs",85.23
"barium","Ba",62.42
"lantahnum","La",56.90
"cerium","Ce",69.46
"praseodymium","Pr",73.93
"neodymium","Nd",71.09
"promethium","Pm",DBL_MAX
"samarium","Sm",69.50
"europium","Eu",80.79
"gadolinium","Gd",68.45
"terbium","Tb",73.30
"dysprosium","Dy",74.89
"holmium","Ho",75.02
"erbium","Er",73.18
"thulium","Tm",74.01
"ytterbium","Yb",59.83
"lutetium","Lu",50.96
"hafnium","Hf",43.56
"tantalum","Ta",41.51
"tungsten","W",32.64
"rhenium","Re",36.53
"osmium","Os",32.64
"iridium","Ir",35.48
"platinum","Pt",41.63
"gold","Au",47.49
"mercury","Hg",75.90
"thallium","Tl",64.18
"lead","Pb",65.06
"bismuth","Bi",56.74
"polonium","Po",DBL_MAX
"astatine","At",DBL_MAX
"radon","Rn",176.23
"francium","Fr",DBL_MAX
"radium","Ra",DBL_MAX
"actinium","Ac",DBL_MAX
"thorium","Th",53.39
"protactinium","Pa",DBL_MAX
"uranium","U",50.29
"neptunium","Np",DBL_MAX
"plutonium","Pu",51.46
"americium","Am",DBL_MAX
"curium","Cm",DBL_MAX
"berkelium","Bk",DBL_MAX
"californium","Cf",DBL_MAX
"einsteinium","Es",DBL_MAX
"fermium","Fm",DBL_MAX
"mendelevium","Md",DBL_MAX
"nobelium","No",DBL_MAX
"lawrencium","Lw",DBL_MAX
"ruferfordium","Rf",DBL_MAX
"hahnium","Ha",DBL_MAX
"106ium","ZZ",DBL_MAX
