,question,answer
0,What kinds of data can a machine learning model train on?,Machine learning models can only train on numerical data.
1,What are the basic variable data types in python?,"`float`, `int`, `str`, and `bool`"
2,What is a static model or distribution?,A probability distribution or model whose underlying statistics or behavior do not change over time.
3,What is a leverage plot and what should I look for?,I don't know.
4,What are replicants in the context of bootstrapping?,I don't know but I imagine they are the duplicates that occur due to random sampling with replacement.
5,Is the movie review dataset a good one?,Yes.
6,Is SQL required for DS work?,"No, but it's required to get through many interviews."
7,What's a good way to learn about the theory behind neural nets?,Find a textbook from a university course.
8,Where can I report Medicare FWA violations?,1-800-HHS-TIPS (1-800-447-8477) or HHSTips@olg.hhs.gov or forms.oig.hhs.gov/hotlineoperation/index.aspx
9,"In Medicare FWA regulations, what is OIG?","In the Medicare FWA context, OIG is the Office of Inspector General responsible for investigating and prosecuting FWA."
10,"Within the medicare and medical field, what is CMS?",Centers for Medicare & Medicaid Services
11,What is a static model or distribution?,A probability distribution or model whose underlying statistics or behavior do not change over time.
12,What is a leverage plot and what should I look for?,I don't know.
13,What are replicants in the context of bootstrapping?,I don't know but I imagine they are the duplicates that occur due to random sampling with replacement.
14,Is the movie review dataset a good one?,Yes.
15,Is SQL required for DS work?,"No, but it's required to get through many interviews."
16,What's a good way to learn about the theory behind neural nets?,Find a textbook from a university course.
17,How is the target variable supplied for `flow_from_directory()`?,The target class or value must be encoded in the filename.
18,What is Bootstrapping?,You have a sample of measurements and you want to estimate the actually distribution (ECDF).
19,How do you tell if a distribution of values is Gaussian?,P-value and T-test score above 0.05.
20,How can I minimize overfitting for an XGBoost model?,How do you reduce overfitting for other similar models?
21,What are some good questions to ask an interviewer in an informational interview?,As a data scientist what do you want to know about the company or business or people?
22,How does correlated feature affect random forest and feature importance?,Design a small experiment to find out?
23,How to decrease overfitting in boosting models?,What are some techniques to reduce overfitting in general? Will they work with boosting models?
24,Where can I find a corporate e-mail corpus?,"The Enron email dataset has > 100k emails, many of them classified as spam/ham or given other tags and category labels."
25,The colors in my legend in my violin plot don't seem to be correct. What should I do?,You can just write the text for the legen in your report or notebook as a label or comment on the plot.
26,How do you fix this bug: `ModuleNotFoundError: No module named 'scratch'`?,What does the error message tell you that `scratch` is?
27,How do you fix this bug: `ModuleNotFoundError: No module named 'scratch'`?,What does the error message tell you that `scratch` is?
28,What sort of hyperparameters should I try?,"You can try different models, and model types, like random forest regressor, linear regression, polynomial regression."
