Category,model,Release Time,Size(B),Link
Publicly Accessbile,T5,2019/10,11,Paper
Publicly Accessbile,mT5,2021/03,13,Paper
Publicly Accessbile,PanGu-α,2021/05,13,Paper
Publicly Accessbile,CPM-2,2021/05,198,Paper
Publicly Accessbile,T0,2021/10,11,Paper
Publicly Accessbile,GPT-NeoX-20B,2022/02,20,Paper
Publicly Accessbile,CodeGen,2022/03,16,Paper
Publicly Accessbile,Tk-Instruct,2022/04,11,Paper
Publicly Accessbile,UL2,2022/02,20,Paper
Publicly Accessbile,OPT,2022/05,175,Paper
Publicly Accessbile,NLLB,2022/07,55,Paper
Publicly Accessbile,BLOOM,2022/07,176,Paper
Publicly Accessbile,GLM,2022/08,130,Paper
Publicly Accessbile,Flan-T5,2022/10,11,Paper
Publicly Accessbile,mT0,2022/11,13,Paper
Publicly Accessbile,Galatica,2022/11,120,Paper
Publicly Accessbile,BLOOMZ,2022/11,176,Paper
Publicly Accessbile,OPT-IML,2022/12,175,Paper
Publicly Accessbile,Pythia,2023/01,12,Paper
Publicly Accessbile,LLaMA,2023/02,65,Paper
Publicly Accessbile,Vicuna,2023/03,13,Blog
Publicly Accessbile,Koala,2023/04,13,Blog
Closed Source,GShard,2020/01,600,Paper
Closed Source,GPT-3,2020/05,175,Paper
Closed Source,LaMDA,2021/05,137,Paper
Closed Source,HyperCLOVA,2021/06,82,Paper
Closed Source,Codex,2021/07,12,Paper
Closed Source,ERNIE 3.0,2021/07,10,Paper
Closed Source,Jurassic-1,2021/08,178,Paper
Closed Source,FLAN,2021/10,137,Paper
Closed Source,MT-NLG,2021/10,530,Paper
Closed Source,Yuan 1.0,2021/10,245,Paper
Closed Source,Anthropic,2021/12,52,Paper
Closed Source,WebGPT,2021/12,175,Paper
Closed Source,Gopher,2021/12,280,Paper
Closed Source,ERNIE 3.0 Titan,2021/12,260,Paper
Closed Source,GLaM,2021/12,1200,Paper
Closed Source,InstructGPT,2022/01,175,Paper
Closed Source,AlphaCode,2022/02,41,Paper
Closed Source,Chinchilla,2022/03,70,Paper
Closed Source,PaLM,2022/04,540,Paper
Closed Source,Cohere,2022/06,54,Homepage
Closed Source,YaLM,2022/06,100,Github
Closed Source,AlexaTM,2022/08,20,Paper
Closed Source,Luminous,2022/09,70,Docs
Closed Source,Sparrow,2022/09,70,Paper
Closed Source,WeLM,2022/09,10,Paper
Closed Source,U-PaLM,2022/10,540,Paper
Closed Source,Flan-PaLM,2022/10,540,Paper
Closed Source,Flan-U-PaLM,2022/10,540,Paper
Closed Source,Alpaca,2023/03,7,Blog
Closed Source,GPT-4,2023/3,-,Paper
Closed Source,PanGU-Σ,2023/3,1085,Paper
