Variable,Assertion Type,Code Cell,Line Number
nbtest_tmpvar_0,UNKNOWN__filterwarnings,2,17
train_df,DATASET__read_csv,3,1
nbtest_tmpvar_0,DATASET__head,4,1
nbtest_tmpvar_1,DATASET__head,6,1
train_df.shape,DATASET__ATTRIBUTE_ACCESS,7,1
nbtest_tmpvar_2,DATASET__drop_duplicates,8,1
nbtest_tmpvar_3,DATASET__value_counts,9,1
nbtest_tmpvar_4,DATASET__info,10,1
numerical_features,PRINT__print,11,2
categorical_features,PRINT__print,12,2
nbtest_tmpvar_5,DATASET__sum,13,1
nbtest_tmpvar_6,DATASET__describe,14,1
nbtest_tmpvar_7,DATASET__corr,15,2
duplicated_columns,UNKNOWN__print,16,3
duplicated_rows,PRINT__print,17,4
nbtest_tmpvar_8,UNKNOWN__matrix,18,1
nbtest_tmpvar_8,MODEL_ARCH__fit,19,3
nbtest_tmpvar_9,MODEL_ARCH__fit,20,3
nbtest_tmpvar_10,DATASET__sum,21,1
nbtest_tmpvar_11,DATASET__drop,22,3
nbtest_tmpvar_12,DATASET__head,22,4
nbtest_tmpvar_13,UNKNOWN__distplot,23,1
nbtest_tmpvar_13,UNKNOWN__figure,24,1
nbtest_tmpvar_13,UNKNOWN__bar,24,2
nbtest_tmpvar_13,UNKNOWN__xlabel,24,3
nbtest_tmpvar_13,UNKNOWN__ylabel,24,4
nbtest_tmpvar_13,UNKNOWN__title,24,5
nbtest_tmpvar_13,UNKNOWN__show,24,6
nbtest_tmpvar_13,UNKNOWN__figure,25,1
nbtest_tmpvar_13,UNKNOWN__lineplot,25,2
nbtest_tmpvar_13,UNKNOWN__title,25,3
nbtest_tmpvar_13,UNKNOWN__xlabel,25,4
nbtest_tmpvar_13,UNKNOWN__ylabel,25,5
nbtest_tmpvar_13,UNKNOWN__xticks,25,6
nbtest_tmpvar_13,UNKNOWN__legend,25,7
nbtest_tmpvar_13,UNKNOWN__tight_layout,25,8
nbtest_tmpvar_13,UNKNOWN__show,25,9
nbtest_tmpvar_13,UNKNOWN__set,26,1
nbtest_tmpvar_13,UNKNOWN__title,26,3
nbtest_tmpvar_13,UNKNOWN__set_xlabel,26,4
nbtest_tmpvar_13,UNKNOWN__set_ylabel,26,5
nbtest_tmpvar_13,UNKNOWN__tight_layout,26,6
nbtest_tmpvar_13,UNKNOWN__show,26,7
X_train,DATASET__train_test_split,28,1
X_test,DATASET__train_test_split,28,1
y_train,DATASET__train_test_split,28,1
y_test,DATASET__train_test_split,28,1
nbtest_tmpvar_13,UNKNOWN__assert_df_leakage,28,2
nbtest_tmpvar_13,MODEL_ARCH__fit,30,24
nbtest_tmpvar_14,MODEL_ARCH__fit,30,26
mse,MODEL_PERF__mean_squared_error,30,32
best_model_name,UNKNOWN__print,30,33
mse,UNKNOWN__print,30,34
nbtest_tmpvar_15,MODEL_ARCH__fit,31,18
nbtest_tmpvar_16,MODEL_ARCH__fit,31,22
test_mse,MODEL_PERF__mean_squared_error,31,24
nbtest_tmpvar_17,UNKNOWN__append,31,25
nbtest_tmpvar_17,UNKNOWN__append,31,26
nbtest_tmpvar_17,UNKNOWN__append,31,27
results_df,DATASET__DataFrame,31,28
results_df,PRINT__print,31,29
nbtest_tmpvar_17,MODEL_ARCH__fit,32,2
nbtest_tmpvar_18,MODEL_PERF__r2_score,34,1
nbtest_tmpvar_19,UNKNOWN__figure,35,1
nbtest_tmpvar_19,UNKNOWN__scatter,35,2
nbtest_tmpvar_19,UNKNOWN__xlabel,35,3
nbtest_tmpvar_19,UNKNOWN__ylabel,35,4
nbtest_tmpvar_19,UNKNOWN__title,35,5
nbtest_tmpvar_19,UNKNOWN__grid,35,6
nbtest_tmpvar_19,UNKNOWN__show,35,7
