## Collection Inspection (390 elements)

### Word Elements

| text | x0 | top | x1 | bottom | font_family | font_variant | size | bold | italic | source | confidence | color |
|------|------|------|------|------|------|------|------|------|------|------|------|------|
| Complaints Occurred Between: 12/31/2009 AND 2/1/20... | 119 | 40 | 431 | 48 | F2 | CIDFont | 8 | False | False | native | 1.00 | #000000 |
| Report Criteria: | 53 | 40 | 113 | 50 | F1 | CIDFont | 10 | False | False | native | 1.00 | #000000 |
| Snohomish Co. Sheriff's Office | 344 | 55 | 448 | 62 | F2 | CIDFont | 8 | False | False | native | 1.00 | #000080 |
| Complaints Detail Rpt #A-2 | 52 | 55 | 160 | 64 | F1 | CIDFont | 10 | False | False | native | 1.00 | #333399 |
| Complaints By Date | 313 | 70 | 479 | 90 | F3 | CIDFont | 19 | False | False | native | 1.00 | #000000 |
| Recorded On Camera | 666 | 98 | 733 | 105 | F1 | CIDFont | 8 | False | False | native | 1.00 | #000080 |
| Date | 70 | 98 | 86 | 107 | F1 | CIDFont | 9 | False | False | native | 1.00 | #000080 |
| Number | 108 | 98 | 136 | 107 | F1 | CIDFont | 9 | False | False | native | 1.00 | #000080 |
| Investigator | 165 | 98 | 206 | 107 | F1 | CIDFont | 9 | False | False | native | 1.00 | #000080 |
| Date Assigned | 225 | 98 | 275 | 107 | F1 | CIDFont | 9 | False | False | native | 1.00 | #000080 |
| Racial | 281 | 98 | 303 | 107 | F1 | CIDFont | 9 | False | False | native | 1.00 | #000080 |
| Category / Type | 308 | 98 | 364 | 107 | F1 | CIDFont | 9 | False | False | native | 1.00 | #000080 |
| Location Of Occurrence | 397 | 98 | 481 | 107 | F1 | CIDFont | 9 | False | False | native | 1.00 | #000080 |
| Disposition | 569 | 98 | 609 | 107 | F1 | CIDFont | 9 | False | False | native | 1.00 | #000080 |
| Completed | 620 | 98 | 657 | 107 | F1 | CIDFont | 9 | False | False | native | 1.00 | #000080 |
| Admin Review | 308 | 109 | 363 | 118 | F2 | CIDFont | 9 | False | False | native | 1.00 | #000000 |
| Not Stated | 397 | 109 | 438 | 118 | F2 | CIDFont | 9 | False | False | native | 1.00 | #000000 |
| Within Policy-Intenti | 570 | 109 | 646 | 118 | F2 | CIDFont | 9 | False | False | native | 1.00 | #000000 |
| 12/31/2009 | 57 | 109 | 100 | 118 | F2 | CIDFont | 9 | False | False | native | 1.00 | #000000 |
| 11-004 IA | 108 | 109 | 146 | 118 | F2 | CIDFont | 9 | False | False | native | 1.00 | #800080 |
| Parker, Scott (Sgt) | 165 | 109 | 237 | 118 | F2 | CIDFont | 9 | False | False | native | 1.00 | #000000 |
| No | 689 | 110 | 701 | 118 | F4 | CIDFont | 9 | False | False | native | 1.00 | #000000 |
| No | 286 | 112 | 297 | 121 | F2 | CIDFont | 9 | False | False | native | 1.00 | #000000 |
| 4/27/2011 | 623 | 117 | 657 | 125 | F2 | CIDFont | 8 | False | False | native | 1.00 | #000000 |
| N/A | 664 | 118 | 677 | 126 | F2 | CIDFont | 8 | False | False | native | 1.00 | #000000 |
| 3/9/2011 | 245 | 118 | 274 | 126 | F2 | CIDFont | 8 | False | False | native | 1.00 | #000000 |
| Internal | 361 | 119 | 389 | 127 | F2 | CIDFont | 9 | False | False | native | 1.00 | #000000 |
| Undersheriff | 116 | 131 | 157 | 138 | F2 | CIDFont | 8 | False | False | native | 1.00 | #000000 |
| NOT STATED ?? UNK | 420 | 131 | 498 | 138 | F2 | CIDFont | 8 | False | False | native | 1.00 | #000000 |
| Complainant: | 65 | 131 | 112 | 140 | F1 | CIDFont | 9 | False | False | native | 1.00 | #000080 |
| DOB: | 241 | 131 | 262 | 140 | F1 | CIDFont | 9 | False | False | native | 1.00 | #000080 |
