alluvium,stage,stratum,y,x
1,Fill1,1.7MG,1,1
1,Fill2,NoFill,1,2
1,Fill3,2.4MG,1,3
1,Fill4,NoFill,1,4
1,Fill5,NoFill,1,5
1,Fill6,2.4MG,1,6
2,Fill1,1.2MG,1,1
2,Fill2,3.0MG,1,2
2,Fill3,2.4MG,1,3
2,Fill4,2.4MG,1,4
2,Fill5,0.8MG,1,5
2,Fill6,2.4MG,1,6
3,Fill1,1.7MG,1,1
3,Fill2,1.7MG,1,2
3,Fill3,1.2MG,1,3
3,Fill4,0.8MG,1,4
3,Fill5,1.7MG,1,5
3,Fill6,NoFill,1,6
4,Fill1,0.8MG,1,1
4,Fill2,2.4MG,1,2
4,Fill3,1.2MG,1,3
4,Fill4,NoFill,1,4
4,Fill5,0.8MG,1,5
4,Fill6,1.7MG,1,6
5,Fill1,NoFill,1,1
5,Fill2,1.7MG,1,2
5,Fill3,0.8MG,1,3
5,Fill4,1.2MG,1,4
5,Fill5,0.8MG,1,5
5,Fill6,1.2MG,1,6
6,Fill1,NoFill,1,1
6,Fill2,1.2MG,1,2
6,Fill3,1.2MG,1,3
6,Fill4,0.8MG,1,4
6,Fill5,1.2MG,1,5
6,Fill6,NoFill,1,6
7,Fill1,0.8MG,1,1
7,Fill2,0.8MG,1,2
7,Fill3,2.4MG,1,3
7,Fill4,3.0MG,1,4
7,Fill5,0.8MG,1,5
7,Fill6,NoFill,1,6
8,Fill1,1.2MG,1,1
8,Fill2,1.2MG,1,2
8,Fill3,NoFill,1,3
8,Fill4,NoFill,1,4
8,Fill5,1.7MG,1,5
8,Fill6,1.7MG,1,6
9,Fill1,1.2MG,1,1
9,Fill2,0.8MG,1,2
9,Fill3,3.0MG,1,3
9,Fill4,NoFill,1,4
9,Fill5,2.4MG,1,5
9,Fill6,NoFill,1,6
10,Fill1,0.8MG,1,1
10,Fill2,3.0MG,1,2
10,Fill3,1.2MG,1,3
10,Fill4,0.8MG,1,4
10,Fill5,0.8MG,1,5
10,Fill6,NoFill,1,6
11,Fill1,0.8MG,1,1
11,Fill2,0.8MG,1,2
11,Fill3,NoFill,1,3
11,Fill4,1.7MG,1,4
11,Fill5,NoFill,1,5
11,Fill6,NoFill,1,6
12,Fill1,1.2MG,1,1
12,Fill2,0.8MG,1,2
12,Fill3,0.8MG,1,3
12,Fill4,1.7MG,1,4
12,Fill5,NoFill,1,5
12,Fill6,1.2MG,1,6
13,Fill1,1.2MG,1,1
13,Fill2,0.8MG,1,2
13,Fill3,1.7MG,1,3
13,Fill4,1.2MG,1,4
13,Fill5,NoFill,1,5
13,Fill6,2.4MG,1,6
14,Fill1,1.2MG,1,1
14,Fill2,0.8MG,1,2
14,Fill3,NoFill,1,3
14,Fill4,0.8MG,1,4
14,Fill5,0.8MG,1,5
14,Fill6,1.2MG,1,6
15,Fill1,1.7MG,1,1
15,Fill2,2.4MG,1,2
15,Fill3,1.7MG,1,3
15,Fill4,NoFill,1,4
15,Fill5,1.7MG,1,5
15,Fill6,NoFill,1,6
16,Fill1,1.7MG,1,1
16,Fill2,0.8MG,1,2
16,Fill3,3.0MG,1,3
16,Fill4,0.8MG,1,4
16,Fill5,NoFill,1,5
16,Fill6,1.7MG,1,6
17,Fill1,1.2MG,1,1
17,Fill2,2.4MG,1,2
17,Fill3,3.0MG,1,3
17,Fill4,3.0MG,1,4
17,Fill5,1.2MG,1,5
17,Fill6,NoFill,1,6
18,Fill1,3.0MG,1,1
18,Fill2,0.8MG,1,2
18,Fill3,NoFill,1,3
18,Fill4,NoFill,1,4
18,Fill5,3.0MG,1,5
18,Fill6,NoFill,1,6
19,Fill1,3.0MG,1,1
19,Fill2,1.2MG,1,2
19,Fill3,1.7MG,1,3
19,Fill4,1.2MG,1,4
19,Fill5,NoFill,1,5
19,Fill6,NoFill,1,6
