ISO-639-1,ISO language name,639-1,639-2/T,639-2/B,639-3,Notes
ab,Abkhazian,ab,abk,abk,abk,also known as Abkhaz
aa,Afar,aa,aar,aar,aar,
af,Afrikaans,af,afr,afr,afr,
ak,Akan,ak,aka,aka,aka + 2,"macrolanguage, Twi is tw/twi, Fanti is fat"
sq,Albanian,sq,sqi,alb,sqi + 4,"macrolanguage, called ""Albanian Phylozone"" in 639-6"
am,Amharic,am,amh,amh,amh,
ar,Arabic,ar,ara,ara,ara + 29,"macrolanguage, Standard Arabic is arb"
an,Aragonese,an,arg,arg,arg,
hy,Armenian,hy,hye,arm,hye,"ISO 639-3 code hye is for Eastern Armenian, hyw is for Western Armenian, and xcl is for Classical Armenian"
as,Assamese,as,asm,asm,asm,
av,Avaric,av,ava,ava,ava,also known as Avar
ae,Avestan,ae,ave,ave,ave,ancient
ay,Aymara,ay,aym,aym,aym + 2,macrolanguage
az,Azerbaijani,az,aze,aze,aze + 2,"macrolanguage, also known as Azeri"
bm,Bambara,bm,bam,bam,bam,
ba,Bashkir,ba,bak,bak,bak,
eu,Basque,eu,eus,baq,eus,
be,Belarusian,be,bel,bel,bel,
bn,Bengali,bn,ben,ben,ben,also known as Bangla
bi,Bislama,bi,bis,bis,bis,"Language formed from English and Vanuatuan languages, with some French influence."
bs,Bosnian,bs,bos,bos,bos,
br,Breton,br,bre,bre,bre,
bg,Bulgarian,bg,bul,bul,bul,
my,Burmese,my,mya,bur,mya,also known as Myanmar
ca,"Catalan, Valencian",ca,cat,cat,cat,
ch,Chamorro,ch,cha,cha,cha,
ce,Chechen,ce,che,che,che,
ny,"Chichewa, Chewa, Nyanja",ny,nya,nya,nya,
zh,Chinese,zh,zho,chi,zho + 16,macrolanguage
cv,Chuvash,cv,chv,chv,chv,
kw,Cornish,kw,cor,cor,cor,
co,Corsican,co,cos,cos,cos,
cr,Cree,cr,cre,cre,cre + 6,macrolanguage
hr,Croatian,hr,hrv,hrv,hrv,
cs,Czech,cs,ces,cze,ces,
da,Danish,da,dan,dan,dan,
dv,"Divehi, Dhivehi, Maldivian",dv,div,div,div,
nl,"Dutch, Flemish",nl,nld,dut,nld,"Flemish is not to be confused with the closely related West Flemish which is referred to as Vlaams (Dutch for ""Flemish"") in ISO 639-3 and has the ISO 639-3 code vls"
dz,Dzongkha,dz,dzo,dzo,dzo,
en,English,en,eng,eng,eng,
eo,Esperanto,eo,epo,epo,epo,"constructed, initially by L.L. Zamenhof in 1887"
et,Estonian,et,est,est,est + 2,macrolanguage
ee,Ewe,ee,ewe,ewe,ewe,
fo,Faroese,fo,fao,fao,fao,
fj,Fijian,fj,fij,fij,fij,
fi,Finnish,fi,fin,fin,fin,
fr,French,fr,fra,fre,fra,
ff,Fulah,ff,ful,ful,ful + 9,"macrolanguage, also known as Fula"
gl,Galician,gl,glg,glg,glg,
ka,Georgian,ka,kat,geo,kat,
de,German,de,deu,ger,deu,
el,"Greek, Modern (1453–)",el,ell,gre,ell,"for Ancient Greek, use the ISO 639-3 code grc"
gn,Guarani,gn,grn,grn,grn + 5,macrolanguage
gu,Gujarati,gu,guj,guj,guj,
ht,"Haitian, Haitian Creole",ht,hat,hat,hat,
ha,Hausa,ha,hau,hau,hau,
he,Hebrew,he,heb,heb,heb,"Modern Hebrew. Code changed in 1989 from original ISO 639:1988, iw.[1]"
