compound,c,r1,r2,r3,r4,r5,r6
comp1,2000,28,26,29,27,27,25
comp1,1000,30,28,30,28,32,32
comp1,250,37,40,37,41,42,38
comp1,60,60,58,54,58,53,57
comp1,15,82,84,78,85,84,85
comp1,4,94,88,91,97,95,100
comp1,1,97,98,96,102,103,106
comp1,0.25,100,100,101,106,106,108
comp1,0.06,100,101,102,97,109,109
comp2,2000,27,29,31,26,27,30
comp2,1000,24,28,26,25,29,30
comp2,250,32,33,30,28,30,30
comp2,60,31,33,39,38,41,34
comp2,15,53,55,61,62,53,57
comp2,4,82,78,82,75,86,87
comp2,1,91,88,86,96,97,100
comp2,0.25,97,99,95,102,100,100
comp2,0.06,100,98,94,105,102,109
comp3,2000,25,25,20,24,22,20
comp3,1000,24,26,23,25,26,21
comp3,250,21,26,25,25,25,24
comp3,60,27,27,30,27,24,29
comp3,15,31,34,35,33,36,37
comp3,4,49,47,44,54,58,60
comp3,1,71,78,75,80,86,84
comp3,0.25,84,91,87,98,97,102
comp3,0.06,97,98,101,107,111,103
comp4,2000,25,24,22,22,23,25
comp4,1000,26,25,24,22,23,27
comp4,250,27,29,25,25,21,25
comp4,60,27,24,29,35,30,33
comp4,15,34,38,40,48,43,51
comp4,4,53,54,59,67,63,65
comp4,1,85,88,86,95,93,99
comp4,0.25,98,93,96,105,105,105
comp4,0.06,100,97,102,104,106,106
comp5,2000,25,26,32,26,27,27
comp5,1000,26,27,33,27,21,33
comp5,250,30,32,32,40,33,40
comp5,60,52,50,48,54,50,57
comp5,15,73,77,77,78,80,79
comp5,4,92,90,88,91,96,100
comp5,1,92,92,91,104,104,101
comp5,0.25,94,99,96,100,107,105
comp5,0.06,95,96,99,102,109,108
comp6,2000,22,23,24,24,21,25
comp6,1000,23,24,25,24,20,27
comp6,250,26,27,33,27,21,33
comp6,60,30,32,32,40,33,40
comp6,15,52,50,48,54,50,57
comp6,4,73,77,77,78,80,79
comp6,1,92,90,88,91,96,98
comp6,0.25,95,94,94,104,104,101
comp6,0.06,94,99,96,100,107,105
